2025-07-22 05:55:32.861 [info] Starting Python Locator /home/jesus/.vscode/extensions/ms-python.python-2025.10.1-linux-x64/python-env-tools/bin/pet server
2025-07-22 05:55:33.279 [info] Discovered env: /usr/bin/python3
2025-07-22 05:55:33.283 [info] Discovered env: /bin/python3
2025-07-22 08:17:06.607 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:17:44.743 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:19:25.592 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:20:54.113 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:22:03.473 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:22:52.714 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:24:17.246 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:24:49.343 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:26:17.806 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:27:21.846 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:31:07.633 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:31:46.159 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:32:49.229 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:34:26.803 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:36:00.864 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:37:18.755 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:38:24.224 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:41:05.003 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:42:12.222 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:44:31.207 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:45:34.514 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:48:18.973 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:54:23.998 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:56:20.545 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:56:51.213 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:58:06.343 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:59:03.318 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 08:59:36.387 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 09:04:43.707 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 09:05:20.130 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 09:06:00.997 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 09:07:45.222 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 09:10:35.801 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 09:12:06.799 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 09:13:34.078 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 09:15:41.655 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 09:17:00.097 [info] Resolved Python Environment /usr/bin/python3
2025-07-22 09:19:12.758 [info] Resolved Python Environment /usr/bin/python3
